Time,T_ext,P_hea,I_sol,T_int
0.0,15.418957884625,0.0,14.2423486709595,26.701061942175023
1800.0,14.9948062306149,0.0,14.2267837524414,26.631188004166873
3600.0,14.8716942236587,0.0,14.2372303009033,26.577434154320624
5400.0,14.5301774034655,0.0,14.2500448226929,26.5183013764331
7200.0,13.891461780699,0.0,14.3154363632202,26.4447266318162
9000.0,13.1162573190316,0.0,14.3034811019897,26.391879349465626
10800.0,12.5681982839747,0.0,14.4360952377319,26.32907742437085
12600.0,12.0670899358849,0.0,14.4375,26.256064818538178
14400.0,11.5760966302683,0.0,14.4375,26.197857755693427
16200.0,11.3217592338566,0.0,14.5054750442505,26.126720585405
18000.0,10.961035357387,60.0,14.5144910812378,26.055837983373625
19800.0,10.6097180547828,0.0,14.5706071853638,25.99091300829755
21600.0,10.3554543391062,0.0,17.1766510009766,25.920460545348423
23400.0,10.4063053819168,0.0,25.8348941802979,25.861579295743127
25200.0,10.8195003327474,0.0,37.5803298950195,25.783808490303326
27000.0,12.0746544913692,0.0,70.5150833129883,25.745182572894773
28800.0,13.5204122104235,0.0,263.256652832031,25.712845914712574
30600.0,14.706039149102,0.0,364.796966552734,25.654651982675876
32400.0,15.2661761569888,0.0,474.302520751953,25.589989892690603
34200.0,16.0963719520122,0.0,561.508911132813,25.53826508342495
36000.0,16.8941926208979,0.0,605.131103515625,25.4865381019547
37800.0,17.8399509813903,0.0,747.524597167969,25.44127710653055
39600.0,18.368073709817,0.0,857.832214355469,25.389553371539453
41400.0,18.5676143655838,0.0,910.694763183594,25.354810840966348
43200.0,19.6364554496633,0.0,956.801391601563,25.3184297006854
45000.0,19.9791577739938,0.0,979.146362304688,25.279637828190523
46800.0,20.5238511108503,0.0,995.044372558594,25.266709673444325
48600.0,21.6094895133141,0.0,977.274841308594,25.226981633763874
50400.0,22.9014358636886,0.0,985.908508300781,25.211669131810474
52200.0,23.6779212365993,0.0,931.0390625,25.195591671520702
54000.0,24.1391286326843,0.0,874.777648925781,25.183698705534024
55800.0,24.5117018827794,0.0,815.689636230469,25.163270105138576
57600.0,24.8540773669255,0.0,753.552429199219,25.144468099586696
59400.0,25.0583770424887,0.0,700.598571777344,25.1309432300092
61200.0,25.3648492268289,0.0,607.671569824219,25.121115427013024
63000.0,25.4142285441844,0.0,134.051681518555,25.103100169036725
64800.0,26.0595584298756,0.0,385.251403808594,25.0921554099221
66600.0,26.3334882894865,0.0,351.481903076172,25.0559978697418
68400.0,27.1054696912997,0.0,252.401275634766,25.04595937799698
70200.0,25.7653493648281,0.0,36.1733818054199,25.028105467678426
72000.0,23.2503613762721,1980.0,32.8134956359863,25.92624215405135
73800.0,21.4526421204925,1980.0,23.2224655151367,27.319563346411297
75600.0,19.5949807527239,1920.0,15.1269855499268,27.80357722159325
77400.0,18.537764221565,1920.0,14.1107883453369,28.25173839980195
79200.0,17.7984970661966,1920.0,14.1009225845337,28.565262192075075
81000.0,16.9890575121392,1980.0,14.1993398666382,28.893528751248052
82800.0,16.030152808156,1920.0,14.209358215332,29.227347549472224
84600.0,15.3358649077748,1920.0,14.2325458526611,29.497231298572878
86400.0,14.7241277696025,1920.0,14.2531566619873,29.780135042542724
88200.0,13.906393465082,1920.0,14.3053569793701,30.085996354378725
90000.0,13.266747386877,1980.0,14.2901782989502,30.180691347093575
91800.0,12.8226310874923,1920.0,14.3239641189575,30.40983849359445
93600.0,12.4386458250589,1920.0,14.3823261260986,30.572655344504977
95400.0,12.0540361656256,1920.0,14.3667459487915,30.776165388112474
97200.0,11.6540971347639,1980.0,14.3996677398682,30.957867199532927
99000.0,11.3481964484342,1980.0,14.4573936462402,31.129694940145576
100800.0,11.0420104854116,1920.0,14.4469041824341,31.34288224787775
102600.0,10.8843441028792,1920.0,14.5079030990601,31.457412473044776
104400.0,10.5588632334728,1920.0,14.4964914321899,31.700608932696703
106200.0,10.206585247436,1980.0,14.6185054779053,31.818934040313597
108000.0,10.0941852858333,1980.0,18.8746223449707,31.956325814745625
109800.0,10.228329565954,1920.0,27.6144275665283,32.1307100918886
111600.0,10.8212800058908,1920.0,39.9735374450684,32.298458142063474
113400.0,12.485512440418,1980.0,110.596733093262,32.496855955514526
115200.0,13.7725741358963,1980.0,244.934768676758,32.6875205948972
117000.0,15.1593003612791,1980.0,367.329223632812,32.91261193000605
118800.0,16.2294941480877,2100.0,472.967254638672,32.99800597164865
120600.0,16.9649223482253,2040.0,576.479858398438,33.2491821872807
122400.0,17.7787903033955,2100.0,669.78466796875,33.313594730823574
124200.0,18.6135590271275,2100.0,741.378540039063,33.56821975623148
126000.0,19.3638820712805,2160.0,813.209716796875,33.75872943651032
127800.0,20.1579941431593,2160.0,864.37939453125,33.9576676635834
129600.0,20.6982987531451,2100.0,901.07568359375,34.20207274380275
131400.0,21.5920347360615,2160.0,975.49560546875,34.3859322007335
133200.0,22.2353941343976,2160.0,982.98486328125,34.53411750078753
135000.0,22.9904270778568,2160.0,931.216186523437,34.745137784360175
136800.0,23.7450991746384,2160.0,985.358093261719,34.880274732629324
138600.0,24.2513330569511,2100.0,924.911437988281,34.99090441031325
140400.0,24.777468294776,2100.0,876.93017578125,35.20530516357752
142200.0,24.9470322267995,2100.0,821.831970214844,35.36676763849658
144000.0,25.5271697758037,2100.0,756.043823242188,35.55818085430645
145800.0,25.9288053528254,2100.0,676.937438964844,35.67841876114842
147600.0,26.4121774254691,2040.0,605.63916015625,35.806082948687745
149400.0,27.2254049250175,1980.0,520.369689941406,35.952628775479305
151200.0,28.394323340044,1980.0,435.053771972656,36.04149005828762
153000.0,28.4684744984359,1920.0,342.587982177734,36.2085129985554
154800.0,29.0447353072169,1980.0,241.329574584961,36.27271415586527
156600.0,28.4667930662728,1980.0,35.6887550354004,36.486327666512224
158400.0,25.4629258424267,1980.0,29.8165760040283,36.607960664577604
160200.0,23.3380187802077,1980.0,23.5326042175293,36.74778899422025
162000.0,21.6196536762774,1980.0,16.3504848480225,36.860656451550796
163800.0,20.1170597716116,1980.0,14.6237640380859,36.9576093617232
165600.0,19.0103335648733,1980.0,14.6436862945557,37.0757877578982
167400.0,18.1746391088267,1920.0,14.6564769744873,37.16061351618663
169200.0,17.3782353771571,1920.0,14.7000226974487,37.2844470060403
171000.0,16.8650320529909,1980.0,14.7001037597656,37.39674009253983
172800.0,16.2761368873666,1980.0,14.7300872802734,37.44657871862047
174600.0,15.6873475197211,1920.0,14.71875,37.6230308684056
176400.0,15.1388643481241,1920.0,14.71875,37.7158721093836
178200.0,14.6805805658283,1920.0,14.775897026062,37.80926363978408
180000.0,14.3231751563189,1920.0,14.6555995941162,37.874880001169075
181800.0,13.8151049233741,1920.0,14.650520324707,37.962797129388
183600.0,13.6145100663186,1920.0,14.6352424621582,38.04817203999787
185400.0,13.1788698853605,1980.0,14.6051635742187,38.15741978022435
187200.0,12.8628069253171,1920.0,14.5884075164795,38.27706522563643
189000.0,12.5936408086266,1980.0,14.5413265228271,38.2620679689196
190800.0,12.4155478591872,1920.0,14.5673637390137,38.4032823302612
192600.0,12.1815652381968,1920.0,14.6436138153076,38.458916070622095
194400.0,12.0626945966407,1920.0,17.3273086547852,38.53897358811057
196200.0,12.1611462282883,1980.0,25.2065849304199,38.61989910826927
198000.0,12.8597935721709,1980.0,39.2612953186035,38.758393129782206
199800.0,14.3673892652094,2040.0,141.498718261719,38.91533305868337
201600.0,15.7768327726653,1980.0,250.54362487793,39.04109296861685
203400.0,16.8311766997748,1980.0,352.615905761719,39.146668431699354
205200.0,17.7131955565391,2040.0,453.366851806641,39.23704822166595
207000.0,18.6034987728934,2100.0,561.176879882813,39.33039545274778
208800.0,19.6872819322288,2040.0,658.590576171875,39.43130124453883
210600.0,20.6160275998802,2100.0,744.505004882813,39.592102501228304
212400.0,21.5886775394842,2100.0,814.060424804688,39.65478283791278
214200.0,22.1482997268492,2220.0,874.559020996094,39.8501068128676
216000.0,21.9258084666812,2160.0,920.827575683594,40.02714874575752
217800.0,22.4095111580086,2100.0,946.634582519531,40.1079188985543
219600.0,22.7953223802012,2160.0,949.847290039063,40.276604548935346
221400.0,23.9141870157572,2220.0,949.987976074219,40.42188048317642
223200.0,24.5221173159424,2100.0,960.461486816406,40.5713489278004
225000.0,25.4527087804739,2160.0,910.183349609375,40.66726638290575
226800.0,26.2678652038859,2160.0,866.246826171875,40.868037774296454
228600.0,27.0144985435282,2100.0,809.910583496094,40.932107165233475
230400.0,27.1585519379133,2100.0,738.144958496094,40.987913985785426
232200.0,27.5835367510065,2040.0,622.593566894531,41.12497299669403
234000.0,28.0002731002523,2040.0,532.957702636719,41.1822732434386
235800.0,29.6615167418784,2040.0,477.69287109375,41.35097773854082
237600.0,31.4951506329616,2040.0,435.596374511719,41.44476590354985
239400.0,32.1912163172366,1980.0,312.408905029297,41.45791133536615
241200.0,31.7049782529172,1920.0,240.493530273437,41.54624796530165
243000.0,30.2883017532855,1860.0,43.3146362304688,41.64621083143078
244800.0,27.7668733127701,0.0,32.6998291015625,41.20107469511407
246600.0,25.7953695413128,0.0,23.1613426208496,39.636760632514275
248400.0,24.1636378680231,0.0,16.0026454925537,39.173514528168674
250200.0,22.9989343689022,0.0,14.7341861724854,38.8197440572642
252000.0,21.781231750151,0.0,14.6702737808228,38.5233392394076
253800.0,20.7039494987628,0.0,14.6925659179688,38.27120707974282
255600.0,19.6779301466027,0.0,14.729229927063,38.023799271576
257400.0,18.6974058145767,0.0,14.7758960723877,37.7978949798531
259200.0,17.910684487217,0.0,14.8132448196411,37.5993680878374
261000.0,17.1968296285066,0.0,14.828592300415,37.404184923450046
262800.0,16.6159873893936,0.0,14.8137426376343,37.20619329678833
264600.0,16.1041830545721,0.0,14.8665904998779,37.0291327499528
266400.0,15.6226766159296,0.0,14.8486413955688,36.84909431312265
268200.0,15.1388643481241,0.0,14.8687314987183,36.68468120630895
270000.0,14.9097144276653,0.0,14.8884267807007,36.51039992348707
271800.0,14.5509147519353,0.0,14.8611221313477,36.3538346403873
273600.0,14.4260051239642,0.0,14.8512344360352,36.2030189149428
275400.0,14.4972836783066,60.0,14.9227647781372,36.041271989123324
277200.0,14.3750926805408,0.0,14.924783706665,35.893302198113275
279000.0,14.0950869941474,0.0,14.9493350982666,35.74412747624123
280800.0,13.8792440033972,0.0,19.9240818023682,35.59658288020032
282600.0,14.1506847766319,0.0,25.0496654510498,35.46943824190565
284400.0,14.6229641201232,0.0,53.0776863098145,35.3393973986862
286200.0,15.4529105341967,0.0,65.4151077270508,35.187531037889826
288000.0,16.4132387877696,0.0,89.4836654663086,35.0648470352282
289800.0,17.7115197921248,0.0,95.9822311401367,34.93732533623463
291600.0,18.8466546454207,0.0,161.353530883789,34.82166777237025
293400.0,19.8547129014297,0.0,205.389724731445,34.70086762018035
295200.0,21.355362768235,0.0,311.710571289063,34.596361915826705
297000.0,22.7096940303591,0.0,470.630035400391,34.492631344764504
298800.0,22.267152420534,0.0,242.891296386719,34.3953817849218
300600.0,23.1850821341026,0.0,430.842559814453,34.300819792385525
302400.0,22.6348136216133,0.0,885.349365234375,34.2073802456468
304200.0,22.9904270778568,0.0,884.7236328125,34.12310667806835
306000.0,23.6237810101977,0.0,1034.93273925781,34.0366754778402
307800.0,24.1578510964327,0.0,331.976531982422,33.95387337284825
309600.0,24.9555527425922,0.0,924.483337402344,33.87029504645195
311400.0,26.5426131085829,0.0,626.556701660156,33.79899528776427
313200.0,26.3968480540407,0.0,277.065734863281,33.7212135317848
315000.0,26.5654730290023,0.0,291.946685791016,33.643431776198625
316800.0,25.8130321360236,0.0,179.262741088867,33.57861403310715
318600.0,24.5476524138258,60.0,145.500061035156,33.51380252988825
320400.0,24.5016227360491,0.0,130.869689941406,33.43176159830153
322200.0,25.1484337934434,0.0,174.457458496094,33.35825336442037
324000.0,25.1349917823868,0.0,155.262847900391,33.28048212978222
325800.0,25.1107961624851,0.0,313.063934326172,33.20271089401238
327600.0,24.8030033926594,0.0,95.9203414916992,33.124943485051425
329400.0,24.1081506066415,0.0,83.6760406494141,33.0471760751697
331200.0,23.1475937538644,60.0,43.0609436035156,32.97674613900205
333000.0,22.1875810049782,0.0,25.5816192626953,32.8948037836724
334800.0,21.4084242331028,0.0,15.1090021133423,32.81388819264855
336600.0,20.905643899098,0.0,14.3978891372681,32.73808979498088
338400.0,20.617705253544,0.0,14.3701725006104,32.65837154589735
340200.0,20.3024896219559,0.0,14.3640947341919,32.58709212346245
342000.0,19.8530125767704,0.0,14.3796520233154,32.521598264457495
343800.0,19.8526725118386,0.0,14.3061408996582,32.43218387907703
345600.0,19.7177045188829,0.0,14.3326101303101,32.34977818478658
347400.0,19.3538180385471,0.0,14.3126201629639,32.27020798469167
349200.0,18.466333582628,0.0,14.3888835906982,32.19039612735503
351000.0,18.3231360183215,0.0,14.4400329589844,32.102543532081526
352800.0,18.3003327753907,0.0,14.4752893447876,32.031971140920945
354600.0,17.0008256480312,0.0,14.3997354507446,31.957081123915003
356400.0,16.0254608567211,0.0,14.4578866958618,31.8614628080553
358200.0,14.9783905406542,0.0,14.4375,31.777246356912976
360000.0,14.278294142312,0.0,14.4375,31.68007980095625
361800.0,13.4533693537323,0.0,14.4272603988647,31.592757232908124
363600.0,12.828322451977,0.0,14.4258766174316,31.497427143398678
365400.0,12.4969612931239,0.0,14.4522857666016,31.38927123451565
367200.0,12.4155478591872,0.0,14.65452003479,31.29790958537315
369000.0,12.2237408467458,0.0,17.1969318389893,31.187801701960602
370800.0,12.008514695997,0.0,21.0373268127441,31.097123818104897
372600.0,12.008514695997,0.0,22.8307762145996,30.993501791576577
374400.0,11.3085344865065,0.0,32.1282501220703,30.892208103792996
376200.0,11.1183031082494,0.0,33.1338691711426,30.794136908581926
378000.0,11.1183031082494,0.0,59.8188400268555,30.689800197487926
379800.0,11.1183031082494,0.0,52.9201965332031,30.598457676784324
381600.0,11.1691664311826,0.0,64.9576416015625,30.488373225424024
383400.0,11.2454618878948,0.0,129.658477783203,30.395990880518823
385200.0,11.8813275776073,0.0,176.347396850586,30.294199797785375
387000.0,13.074029756118,0.0,234.617706298828,30.196986312649948
388800.0,14.7013490869167,0.0,389.205902099609,30.10310224283935
390600.0,15.631053548751,0.0,283.661041259766,30.002746449714223
392400.0,16.8962046717447,0.0,456.733123779297,29.9230666004616
394200.0,17.9918296477074,0.0,327.984497070313,29.840884533551524
396000.0,17.3651882192715,0.0,587.123413085938,29.75910508125195
397800.0,16.9896167300271,0.0,422.668151855469,29.682484632562304
399600.0,16.8707300298492,0.0,247.674133300781,29.596576637615698
401400.0,16.517151295448,0.0,942.930114746094,29.515145528145197
403200.0,15.8032869904895,0.0,825.295471191406,29.43814452544275
405000.0,15.6223412741217,0.0,721.851501464844,29.3617390561298
406800.0,16.233909324453,0.0,643.711486816406,29.303566163617127
408600.0,17.4044109306622,0.0,566.404479980469,29.2258881791607
410400.0,17.963999111534,60.0,385.2744140625,29.148297217864553
412200.0,17.4567129171821,0.0,193.85173034668,29.0787138749048
414000.0,17.3823123778402,0.0,69.5668411254883,29.01875645157065
415800.0,17.6167285816188,0.0,79.5279083251953,28.9410851621213
417600.0,15.8170256137366,0.0,27.8829956054687,29.781781437601175
